upc_a_code,item_name
180332000128,"180 Snacks, Inc. - 180 SNACKS, CRANBERRY POMEGRANATE TRAIL MIX CRUNCH"
180332000128,"180 SNACKS - 180 SNACKS, CRANBERRY POMEGRANATE TRAIL MIX CRUNCH"
180332000135,"180 Snacks, Inc. - 180 SNACKS, PISTACHIO TRAIL MIX CRUNCH"
180332000135,"180 SNACKS - 180 SNACKS, PISTACHIO TRAIL MIX CRUNCH"
180332000166,"180 Snacks, Inc. - 180 SNACKS, NUTTY RICE BITES WITH CRANBERRIES"
180332000166,"180 SNACKS - 180 SNACKS, NUTTY RICE BITES WITH CRANBERRIES"
180332000579,"180 Snacks, Inc. - 180 SNACKS, TOASTED COCONUT SQUARES"
180332000579,"180 SNACKS - 180 SNACKS, TOASTED COCONUT SQUARES"
180332000685,"180 Snacks, Inc. - BLUEBERRY POMEGRANTE"
180332000685,180 SNACKS - BLUEBERRY POMEGRANTE
180332000760,"180 Snacks, Inc. - CRANBERRY POMEGRANATE"
180332000760,180 SNACKS - CRANBERRY POMEGRANATE
180332000777,"180 Snacks, Inc. - NUTTY RICE BITES"
180332000777,180 SNACKS - NUTTY RICE BITES
180332000784,"180 Snacks, Inc. - 180"
180332000784,"180 Snacks, Inc.  - 180 SNACKS, BLUEBERRY POMEGRANATE CLUSTERS, BLUEBERRY POMEGRANATE"
180332000784,"180 Snacks, Inc.  - 180"
180332000784,"180 SNACKS - 180, BLUEBERRY POMEGRANATE"
180332000784,180 SNACKS - 180
180332000852,"180 Snacks, Inc. - 180 SNACKS, LIGHT & CRISPY TOASTED COCONUT SQUARES"
180332000852,"180 SNACKS - 180 SNACKS, LIGHT & CRISPY TOASTED COCONUT SQUARES"
180332005178,"180 SNACKS INC - 180 SNACKS, COCONUT CASHEW CRUNCH"
180332005178,"180 SNACKS - 180 SNACKS, COCONUT CASHEW CRUNCH"
180332010042,"180 SNACKS - 180 SNACKS, ALMOND POPS, CRANBERRIES"
180332010042,"180 SNACKS - 180 SNACKS, ALMOND POPS, CRANBERRIES, CRANBERRIES"
180332010066,180 SNACKS - ALMOND POPS WITH MANGO
180332010066,"180 SNACKS - ALMOND POPS WITH MANGO, MANGO"
180332095100,180 - NUTTY RICE BITES
180332095100,"180 - NUTTY RICE BITES, BLUEBERRIES"
180332095117,180 - NUTTY RICE BITES
180332095117,"180° - NUTTY RICE BITES, CRANBERRIES"
180362000013,"Sauce Goddess Gourmet LLC - SAUCE GODDESS, STICKY SWEET GRILL GLAZE"
180362000013,"SAUCE GODDESS - SAUCE GODDESS, STICKY SWEET GRILL GLAZE"
180362000051,"SAUCE GODDESS - SWEET & TANGY MOPSAUCE, SWEET & TANGY"
180411000407,SARAH FARMS - FAT FREE MILK
180411000797,"SARAH FARMS - CHOCOLATE 1% LOW FAT MILK, CHOCOLATE"
180411001046,SARAH FARMS - HEAVY WHIPPING CREAM
180411001145,SARAH FARMS - DECADENT CHOCOLATE MILK
180430000143,CLOVER VALLEY - PURE CANOLA OIL
180430000143,"CLOVER VALLEY - PURE CANOLA OIL, PURE CANOLA OIL"
180430000334,CLOVER VALLEY - PURE VEGETABLE OIL
180530000715,"CytoSport, Inc. - CHOCOLATE GENUINE NON DAIRY PROTEIN SHAKE, CHOCOLATE"
180530000715,"PepsiCo, Inc. (CytoSport) - CHOCOLATE GENUINE NON DAIRY PROTEIN SHAKE, CHOCOLATE"
180530000715,"MUSCLE MILK - CHOCOLATE GENUINE NON DAIRY PROTEIN SHAKE, CHOCOLATE"
180530000715,"MUSCLE MILK - GENUINE ZERO SUGAR PROTEIN 25G SHAKE, CHOCOLATE, CHOCOLATE"
180530000722,"CytoSport, Inc. - VANILLA CREME GENUINE NON DAIRY PROTEIN SHAKE, VANILLA CREME"
180530000722,"PepsiCo, Inc. (CytoSport) - VANILLA CREME GENUINE NON DAIRY PROTEIN SHAKE, VANILLA CREME"
180530000722,"PepsiCo, Inc. (CytoSport) - VANILLA CREME GENUINE NON-DAIRY PROTEIN SHAKE, VANILLA CREME"
180530000722,"MUSCLE MILK - VANILLA CREME GENUINE NON-DAIRY PROTEIN SHAKE, VANILLA CREME"
180530000722,"MUSCLE MILK - GENUINE ZERO SUGAR PROTEIN 25G SHAKE, VANILLA CREME, VANILLA CREME"
180530000739,"CytoSport, Inc. - BANANA CREME GENUINE NON DAIRY PROTEIN SHAKE, BANANA CREME"
180530000739,"PepsiCo, Inc. (CytoSport) - BANANA CREME GENUINE NON DAIRY PROTEIN SHAKE, BANANA CREME"
180530000739,"PepsiCo, Inc. (CytoSport) - BANANA CREME GENUINE NON-DAIRY PROTEIN SHAKE, BANANA CREME"
180530000739,"MUSCLE MILK - BANANA CREME GENUINE NON-DAIRY PROTEIN SHAKE, BANANA CREME"
180530000739,"MUSCLE MILK - 25G PROTEIN SHAKE, BANANA CREME, BANANA CREME"
180530000746,"CytoSport, Inc. - COOKIES 'N CREME GENUINE NON DAIRY PROTEIN SHAKE, COOKIES 'N CREME"
180530000746,"MUSCLE MILK - COOKIES 'N CREME GENUINE NON DAIRY PROTEIN SHAKE, COOKIES 'N CREME"
180530000746,"MUSCLE MILK - GENUINE ZERO SUGAR PROTEIN 25 G SHAKE, COOKIES 'N CREME, COOKIES 'N CREME"
180530000791,"MUSCLE MILK - PROTEIN SHAKE, STRAWBERRIES 'N CREME, STRAWBERRIES 'N CREME"
180530000814,"CytoSport, Inc. - PROTEIN SHAKE"
180530000814,"CytoSport, Inc. - CHOCOLATE GENUINE NON DAIRY PROTEIN SHAKE, CHOCOLATE"
180530000814,"PepsiCo, Inc. (CytoSport) - CHOCOLATE GENUINE NON-DAIRY PROTEIN SHAKE, CHOCOLATE"
180530000814,"MUSCLE MILK - CHOCOLATE GENUINE NON-DAIRY PROTEIN SHAKE, CHOCOLATE"
180530000814,"MUSCLE MILK - GENUINE ZERO SUGAR NON-DAIRY PROTEIN 25 G SHAKE, CHOCOLATE, CHOCOLATE"
180530000814,"MUSCLE MILK - GENUINE PROTEIN 25 GRAMS SHAKE, CHOCOLATE, CHOCOLATE"
180530000821,"CytoSport, Inc. - NON DAIRY PROTEIN SHAKE"
180530000821,"CytoSport, Inc. - VANILLA CREME GENUINE NON DAIRY PROTEIN SHAKE, VANILLA CREME"
180530000821,"MUSCLE MILK - VANILLA CREME GENUINE NON DAIRY PROTEIN SHAKE, VANILLA CREME"
180530000821,"MUSCLE MILK - GENUINE ZERO SUGAR NON-DAIRY PROTEIN 25 G SHAKE, VANILLA CREME, VANILLA CREME"
180530000821,"MUSCLE MILK - GENUINE ZERO SUGAR PROTEIN 25 GRAMS SHAKE, VANILLA CREME, VANILLA CREME"
180530000838,"CytoSport, Inc. - MUSCLE MILK, NON DAIRY PROTEIN SHAKE, BANANA CREME"
180530000838,"CytoSport, Inc. - BANANA CREME GENUINE NON DAIRY PROTEIN SHAKE, BANANA CREME"
